"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Asteraceae","","N30",49.3379190000001,"N31",45.259635,1210,6967,""
"F","Calyceraceae","","N30",49.3379190000001,"N6997",12.95581,6,32,""
"F","Goodeniaceae","","N29",57.0490100000001,"N7028",32.693249,5,168,""
"F","Menyanthaceae","","N28",68.2693490000001,"N7195",39.258343,6,49,""
"F","Alseuosmiaceae","","N7243",53.5013340000001,"N7244",18.601513,2,5,""
"F","Stylidiaceae","","N7248",31.4294330000001,"N7249",6.095974,1,2,""
"F","Phellinaceae","","N7248",31.429434,"N7248",31.429434,1,1,"Phelline_lucida"
"F","Pentaphragmataceae","","N26",78.113244,"N26",78.113244,1,1,"Pentaphragma_ellipticum"
"F","Campanulaceae","","N7251",64.918189,"N7252",45.59007,52,389,""
"F","Argophyllaceae","","N7251",64.918189,"N7640",0.143906,1,3,""
"F","Rousseaceae","","N7250",76.045419,"N7642",62.405205,3,4,""
"F","Escalloniaceae","","N24",92.731636,"N7645",91.731637,4,38,""
"F","Apiaceae","","N7690",58.0018380000001,"N7691",55.977161,368,2006,""
"F","Myodocarpaceae","","N7690",58.0018380000001,"N9696",28.298893,2,16,""
"F","Araliaceae","","N7689",60.1881650000001,"N9711",39.744574,42,519,""
"F","Pittosporaceae","","N7688",63.3691980000001,"N10229",19.120713,8,54,""
"F","Griseliniaceae","","N7687",70.5320240000001,"N10300",15.258439,1,7,""
"F","Torricelliaceae","","N7684",80.8139600000001,"N7685",75.519578,3,7,""
"F","Pennantiaceae","","N7684",80.8139600000001,"N10311",21.674377,1,3,""
"F","Caprifoliaceae","","N10314",70.937964,"N10315",52.598461,33,435,""
"F","Adoxaceae","","N10314",70.937964,"N10749",58.853281,3,159,""
"F","Paracryphiaceae","","N10313",81.84543,"N10907",53.102229,3,6,""
"F","Bruniaceae","","N10912",78.2673270000001,"N10913",45.457636,6,65,""
"F","Columelliaceae","","N10912",78.2673270000001,"N10977",33.569398,2,2,""
"F","Aquifoliaceae","","N10979",64.172058,"N10980",43.189173,1,137,""
"F","Phyllonomaceae","","N11116",56.5475280000001,"N11117",56.395313,1,2,""
"F","Helwingiaceae","","N11116",56.5475280000001,"N11118",0.36632,1,2,""
"F","Stemonuraceae","","N11119",74.1423150000001,"N11120",25.301726,5,8,""
"F","Cardiopteridaceae","","N11119",74.1423150000001,"N11127",65.850194,4,7,""
"F","Lamiaceae","","N11148",40.2889350000001,"N11149",34.280418,152,1280,""
"F","Orobanchaceae","","N12430",36.0449750000001,"N12431",35.216731,52,516,""
"F","Paulowniaceae","","N12430",36.0449750000001,"N12946",3.322986,1,2,""
"F","Phrymaceae","","N12429",36.4880120000001,"N12947",33.240552,9,86,""
"F","Mazaceae","","N12428",37.3759120000001,"N13032",17.451076,3,7,""
"F","Acanthaceae","","N13042",41.8945970000001,"N13043",34.73786,92,399,""
"F","Thomandersiaceae","","N13042",41.8945970000001,"N13441",3.633905,1,2,""
"F","Lentibulariaceae","","N13041",43.4208490000001,"N13442",32.886738,3,86,""
"F","Martyniaceae","","N13527",21.3686820000001,"N13528",13.339829,4,7,""
"F","Schlegeliaceae","","N13527",21.3686820000001,"N13534",4.082197,2,3,""
"F","Bignoniaceae","","N13536",46.0113470000001,"N13537",42.663837,62,124,""
"F","Pedaliaceae","","N13536",46.0113470000001,"N13660",7.583736,9,24,""
"F","Verbenaceae","","N13684",25.8539950000001,"N13685",24.738159,20,132,""
"F","Stilbaceae","","N11146",48.0202460000001,"N13835",18.758487,11,18,""
"F","Linderniaceae","","N11145",48.4008810000001,"N13852",40.282287,5,7,""
"F","Byblidaceae","","N13858",47.9854820000001,"N13859",15.488787,1,3,""
"F","Scrophulariaceae","","N11142",52.9327610000001,"N11143",48.873411,46,291,""
"F","Plantaginaceae","","N11142",52.9327610000001,"N14150",51.160267,49,333,""
"F","Gesneriaceae","","N14688",48.6250340000001,"N14689",41.127893,127,902,""
"F","Calceolariaceae","","N14688",48.6250340000001,"N15590",14.360075,2,31,""
"F","Peltantheraceae","","N14687",52.885031,"N14687",52.885031,1,1,"Peltanthera_floribunda"
"F","Tetrachondraceae","","N11140",66.7058490000001,"N15620",31.67818,2,2,""
"F","Oleaceae","","N15621",40.7900950000001,"N15622",32.094046,24,152,""
"F","Carlemanniaceae","","N15621",40.7900950000001,"N15773",0.5811,1,2,""
"F","Plocospermataceae","","N11138",77.046544,"N11138",77.046544,1,1,"Plocosperma_buxifolium"
"F","Boraginaceae","","N11137",88.247776,"N15774",61.183787,85,650,""
"F","Rubiaceae","","N16839",67.727862,"N16840",49.749509,416,1881,""
"F","Apocynaceae","","N18721",52.073116,"N18722",30.894505,225,996,""
"F","Gentianaceae","","N18721",52.073116,"N19871",27.958995,17,70,""
"F","Loganiaceae","","N19940",49.325813,"N19941",39.488013,7,15,""
"F","Gelsemiaceae","","N19940",49.325813,"N19955",25.182153,2,4,""
"F","Solanaceae","","N19959",66.649824,"N19960",39.66005,88,955,""
"F","Convolvulaceae","","N19959",66.649824,"N20914",51.592732,45,162,""
"F","Hydroleaceae","","N21076",56.546552,"N21077",0.737113,1,2,""
"F","Sphenocleaceae","","N21076",56.546553,"N21076",56.546553,1,1,"Sphenoclea_zeylanica"
"F","Montiniaceae","","N21075",72.041914,"N21078",26.222312,2,2,""
"F","Vahliaceae","","N11135",92.678478,"N21079",46.339253,1,5,""
"F","Metteniusaceae","","N11134",101.546515,"N21080",0.00267,11,13,""
"F","Icacinaceae","","N21093",68.350536,"N21094",55.550818,22,41,""
"F","Oncothecaceae","","N21093",68.350537,"N21093",68.350537,1,1,"Oncotheca_balansae"
"F","Garryaceae","","N21134",43.5471020000001,"N21135",28.880121,2,13,""
"F","Eucommiaceae","","N21134",43.547103,"N21134",43.547103,1,1,"Eucommia_ulmoides"
"F","Ericaceae","","N21154",46.143515,"N21155",26.848983,66,1327,""
"F","Clethraceae","","N22635",50.59639,"N22636",8.287599,1,16,""
"F","Cyrillaceae","","N21152",79.226094,"N22634",61.84642,3,4,""
"F","Actinidiaceae","","N22654",84.813947,"N22655",35.337748,3,71,""
"F","Roridulaceae","","N22654",84.813948,"N22654",84.813948,1,1,"Roridula_gorgonias"
"F","Sarraceniaceae","","N22653",88.088724,"N22725",41.25056,3,17,""
