"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Asteraceae","","N30",49.3379190000001,"N31",45.259635,1235,6951,""
"F","Calyceraceae","","N30",49.3379190000001,"N6981",12.95581,6,31,""
"F","Goodeniaceae","","N29",57.0490100000001,"N7011",32.693249,4,168,""
"F","Menyanthaceae","","N28",68.2693490000001,"N7178",39.258343,6,50,""
"F","Alseuosmiaceae","","N7227",53.5013340000001,"N7228",18.601513,2,5,""
"F","Stylidiaceae","","N7232",31.4294330000001,"N7233",6.095974,1,2,""
"F","Phellinaceae","","N7232",31.429434,"N7232",31.429434,1,1,"Phelline_lucida"
"F","Pentaphragmataceae","","N26",78.113244,"N26",78.113244,1,1,"Pentaphragma_ellipticum"
"F","Campanulaceae","","N7235",64.918189,"N7236",45.59007,53,382,""
"F","Argophyllaceae","","N7235",64.918189,"N7617",0.143906,1,3,""
"F","Rousseaceae","","N7234",76.045419,"N7619",62.405205,3,4,""
"F","Escalloniaceae","","N24",92.731636,"N7622",91.731637,4,37,""
"F","Apiaceae","","N7666",58.0018380000001,"N7667",55.977161,380,1971,""
"F","Myodocarpaceae","","N7666",58.0018380000001,"N9638",28.298893,2,15,""
"F","Araliaceae","","N7665",60.1881650000001,"N9652",39.744574,41,521,""
"F","Pittosporaceae","","N7664",63.3691980000001,"N10172",19.120713,9,71,""
"F","Griseliniaceae","","N7663",70.5320240000001,"N10242",15.258439,1,7,""
"F","Torricelliaceae","","N7660",80.8139600000001,"N7661",75.519578,3,7,""
"F","Pennantiaceae","","N7660",80.8139600000001,"N10253",21.674377,1,4,""
"F","Caprifoliaceae","","N10257",70.937964,"N10258",52.598461,37,432,""
"F","Adoxaceae","","N10257",70.937964,"N10689",58.853281,5,155,""
"F","Paracryphiaceae","","N10256",81.84543,"N10843",53.102229,3,6,""
"F","Bruniaceae","","N10848",78.2673270000001,"N10849",45.457636,6,64,""
"F","Columelliaceae","","N10848",78.2673270000001,"N10912",33.569398,2,2,""
"F","Aquifoliaceae","","N10914",64.172058,"N10915",43.189173,1,137,""
"F","Phyllonomaceae","","N11051",56.5475280000001,"N11052",56.395313,1,2,""
"F","Helwingiaceae","","N11051",56.5475280000001,"N11053",0.36632,1,2,""
"F","Stemonuraceae","","N11054",74.1423150000001,"N11055",25.301726,5,8,""
"F","Cardiopteridaceae","","N11054",74.1423150000001,"N11062",65.850194,4,7,""
"F","Lamiaceae","","N11083",40.2889350000001,"N11084",34.280418,158,1273,""
"F","Orobanchaceae","","N12358",36.0449750000001,"N12359",35.216731,53,516,""
"F","Paulowniaceae","","N12358",36.0449750000001,"N12874",3.322986,1,2,""
"F","Phrymaceae","","N12357",36.4880120000001,"N12875",33.240552,9,86,""
"F","Mazaceae","","N12356",37.3759120000001,"N12960",17.451076,3,7,""
"F","Acanthaceae","","N12970",41.8945970000001,"N12971",34.73786,90,399,""
"F","Thomandersiaceae","","N12970",41.8945970000001,"N13369",3.633905,1,2,""
"F","Lentibulariaceae","","N12969",43.4208490000001,"N13370",32.886738,3,86,""
"F","Martyniaceae","","N13455",21.3686820000001,"N13456",13.339829,4,7,""
"F","Schlegeliaceae","","N13455",21.3686820000001,"N13462",4.082197,2,3,""
"F","Bignoniaceae","","N13464",46.0113470000001,"N13465",42.663837,61,124,""
"F","Pedaliaceae","","N13464",46.0113470000001,"N13588",7.583736,11,22,""
"F","Verbenaceae","","N13610",25.8539950000001,"N13611",24.738159,23,137,""
"F","Stilbaceae","","N11081",48.0202460000001,"N13766",18.758487,11,18,""
"F","Linderniaceae","","N11080",48.4008810000001,"N13783",40.282287,5,7,""
"F","Byblidaceae","","N13789",47.9854820000001,"N13790",15.488787,1,3,""
"F","Scrophulariaceae","","N11077",52.9327610000001,"N11078",48.873411,46,289,""
"F","Plantaginaceae","","N11077",52.9327610000001,"N14079",51.160267,49,336,""
"F","Gesneriaceae","","N14616",48.6250340000001,"N14617",41.127893,127,904,""
"F","Calceolariaceae","","N14616",48.6250340000001,"N15520",14.360075,2,31,""
"F","Peltantheraceae","","N14615",52.885031,"N14615",52.885031,1,1,"Peltanthera_floribunda"
"F","Tetrachondraceae","","N11075",66.7058490000001,"N15550",31.67818,2,2,""
"F","Oleaceae","","N15551",40.7900950000001,"N15552",32.094046,23,148,""
"F","Carlemanniaceae","","N15551",40.7900950000001,"N15699",0.5811,1,2,""
"F","Plocospermataceae","","N11073",77.046544,"N11073",77.046544,1,1,"Plocosperma_buxifolium"
