"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Aextoxicaceae","","N28780",27.131624,"N28780",27.131624,1,1,"Aextoxicon_punctatum"
"F","Alzateaceae","","N47556",30.887811,"N47556",30.887811,1,1,"Alzatea_verticillata"
"F","Amborellaceae","","N4",139.395598,"N4",139.395598,1,1,"Amborella_trichopoda"
"F","Anemiaceae","","N73247",76.461114,"N73247",76.461114,1,1,"Anemia_phyllitidis"
"F","Aphloiaceae","","N46364",69.673651,"N46364",69.673651,1,1,"Aphloia_theiformis"
"F","Apodanthaceae","","N36791",45.244526,"N36791",45.244526,1,1,"Apodanthes_caseariae"
"F","Asteropeiaceae","","N28073",42.059095,"N28073",42.059095,1,1,"Asteropeia_micraster"
"F","Austrobaileyaceae","","N71937",122.61422,"N71937",122.61422,1,1,"Austrobaileya_scandens"
"F","Barbeuiaceae","","N26401",77.761794,"N26401",77.761794,1,1,"Barbeuia_madagascariensis"
"F","Barbeyaceae","","N35637",60.831944,"N35637",60.831944,1,1,"Barbeya_oleoides"
"F","Bataceae","","N44264",32.635457,"N44264",32.635457,1,1,"Batis_maritima"
"F","Butomaceae","","N69552",63.678972,"N69552",63.678972,1,1,"Butomus_umbellatus"
"F","Cephalotaceae","","N41885",75.577737,"N41885",75.577737,1,1,"Cephalotus_follicularis"
"F","Circaeasteraceae","","N53650",86.334794,"N53650",86.334794,1,1,"Kingdonia_uniflora"
"F","Corsiaceae","","N67806",84.269335,"N67806",84.269335,1,1,"Corsia_dispar"
"F","Ctenolophonaceae","","N39527",87.549135,"N39527",87.549135,1,1,"Ctenolophon_englerianus"
"F","Culcitaceae","","N73221",60.015,"N73221",60.015,1,1,"Culcita_coniifolia"
"F","Curtisiaceae","","N25290",59.397591,"N25290",59.397591,1,1,"Curtisia_dentata"
"F","Cynomoriaceae","","N33540",105.0549,"N33540",105.0549,1,1,"Cynomorium_coccineum"
"F","Cytinaceae","","N44819",38.58316,"N44819",38.58316,1,1,"Cytinus_baronii"
"F","Davalliaceae","","N72974",24.43379871,"N72974",24.43379871,1,1,"Davallia_solida"
"F","Dipteridaceae","","N73288",118.5451428,"N73288",118.5451428,1,1,"Dipteris_conjugata"
"F","Dirachmaceae","","N35637",60.831944,"N35637",60.831944,1,1,"Dirachma_socotrana"
"F","Drosophyllaceae","","N28696",57.934633,"N28696",57.934633,1,1,"Drosophyllum_lusitanicum"
"F","Emblingiaceae","","N42565",63.503418,"N42565",63.503418,1,1,"Emblingia_calceoliflora"
"F","Eucommiaceae","","N21277",43.547103,"N21277",43.547103,1,1,"Eucommia_ulmoides"
"F","Euphroniaceae","","N39577",54.515819,"N39577",54.515819,1,1,"Euphronia_guianensis"
"F","Geissolomataceae","","N46365",51.634151,"N46365",51.634151,1,1,"Geissoloma_marginata"
"F","Gerrardinaceae","","N45024",57.271231,"N45024",57.271231,1,1,"Gerrardina_foliosa"
"F","Ginkgoaceae","","N72572",269.71475,"N72572",269.71475,1,1,"Ginkgo_biloba"
"F","Gomortegaceae","","N71298",78.376352,"N71298",78.376352,1,1,"Gomortega_keule"
"F","Goupiaceae","","N38862",83.071322,"N38862",83.071322,1,1,"Goupia_glabra"
