"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Aextoxicaceae","","N29300",27.131624,"N29300",27.131624,1,1,"Aextoxicon_punctatum"
"F","Alzateaceae","","N48377",30.887811,"N48377",30.887811,1,1,"Alzatea_verticillata"
"F","Amborellaceae","","N4",139.395598,"N4",139.395598,1,1,"Amborella_trichopoda"
"F","Anemiaceae","","N74355",76.461114,"N74355",76.461114,1,1,"Anemia_phyllitidis"
"F","Aphloiaceae","","N47174",69.673651,"N47174",69.673651,1,1,"Aphloia_theiformis"
"F","Apodanthaceae","","N37441",45.244526,"N37441",45.244526,1,1,"Apodanthes_caseariae"
"F","Asteropeiaceae","","N28575",42.059095,"N28575",42.059095,1,1,"Asteropeia_micraster"
"F","Austrobaileyaceae","","N73015",122.61422,"N73015",122.61422,1,1,"Austrobaileya_scandens"
"F","Barbeuiaceae","","N26861",77.761794,"N26861",77.761794,1,1,"Barbeuia_madagascariensis"
"F","Barbeyaceae","","N36276",60.831944,"N36276",60.831944,1,1,"Barbeya_oleoides"
"F","Bataceae","","N45034",32.635457,"N45034",32.635457,1,1,"Batis_maritima"
"F","Butomaceae","","N70600",63.678972,"N70600",63.678972,1,1,"Butomus_umbellatus"
"F","Cephalotaceae","","N42603",75.577737,"N42603",75.577737,1,1,"Cephalotus_follicularis"
"F","Circaeasteraceae","","N54628",86.334794,"N54628",86.334794,1,1,"Kingdonia_uniflora"
"F","Corsiaceae","","N68848",84.269335,"N68848",84.269335,1,1,"Corsia_dispar"
"F","Ctenolophonaceae","","N40214",87.549135,"N40214",87.549135,1,1,"Ctenolophon_englerianus"
"F","Culcitaceae","","N74329",60.015,"N74329",60.015,1,1,"Culcita_coniifolia"
"F","Curtisiaceae","","N25704",59.397591,"N25704",59.397591,1,1,"Curtisia_dentata"
"F","Cynomoriaceae","","N34118",105.0549,"N34118",105.0549,1,1,"Cynomorium_coccineum"
"F","Cytinaceae","","N45596",38.58316,"N45596",38.58316,1,1,"Cytinus_baronii"
"F","Davalliaceae","","N74075",24.43379871,"N74075",24.43379871,1,1,"Humata_pyxidata"
"F","Dipteridaceae","","N74397",118.5451428,"N74397",118.5451428,1,1,"Dipteris_conjugata"
"F","Dirachmaceae","","N36276",60.831944,"N36276",60.831944,1,1,"Dirachma_socotrana"
"F","Drosophyllaceae","","N29211",57.934633,"N29211",57.934633,1,1,"Drosophyllum_lusitanicum"
"F","Emblingiaceae","","N43297",63.503418,"N43297",63.503418,1,1,"Emblingia_calceoliflora"
"F","Eucommiaceae","","N21592",43.547103,"N21592",43.547103,1,1,"Eucommia_ulmoides"
"F","Euphroniaceae","","N40266",54.515819,"N40266",54.515819,1,1,"Euphronia_guianensis"
"F","Geissolomataceae","","N47175",51.634151,"N47175",51.634151,1,1,"Geissoloma_marginata"
"F","Gerrardinaceae","","N45802",57.271231,"N45802",57.271231,1,1,"Gerrardina_foliosa"
"F","Ginkgoaceae","","N73671",269.71475,"N73671",269.71475,1,1,"Ginkgo_biloba"
"F","Gomortegaceae","","N72366",78.376352,"N72366",78.376352,1,1,"Gomortega_keule"
"F","Goupiaceae","","N39540",83.071322,"N39540",83.071322,1,1,"Goupia_glabra"
"F","Guamatelaceae","","N47169",25.806242,"N47169",25.806242,1,1,"Guamatela_tuerckheimii"
"F","Halophytaceae","","N26734",38.133667,"N26734",38.133667,1,1,"Halophytum_ameghinoi"
"F","Himantandraceae","","N71743",95.087155,"N71743",95.087155,1,1,"Galbulimima_belgraveana"
"F","Hypodematiaceae","","N73966",67.23728,"N73966",67.23728,1,1,"Hypodematium_crenatum"
"F","Kewaceae","","N26860",77.765313,"N26860",77.765313,1,1,"Kewa_salsoloides"
"F","Koeberliniaceae","","N45032",57.819717,"N45032",57.819717,1,1,"Koeberlinia_spinosa"
"F","Lanariaceae","","N61567",59.378075,"N61567",59.378075,1,1,"Lanaria_lanata"
"F","Limnanthaceae","","N43294",73.308019,"N43294",73.308019,1,1,"Limnanthes_alba"
"F","Lomariopsidaceae","","N74076",40.991842,"N74076",40.991842,1,1,"Lomariopsis_spectabilis"
"F","Lonchitidaceae","","N74302",103.9389511,"N74302",103.9389511,1,1,"Antiosorus_hirsutus"
"F","Lophopyxidaceae","","N40346",59.006024,"N40346",59.006024,1,1,"Lophopyxis_maingayi"
"F","Loxsomataceae","","N74328",88.652,"N74328",88.652,1,1,"Loxsomopsis_pearcei"
"F","Macarthuriaceae","","N27293",80.686585,"N27293",80.686585,1,1,"Macarthuria_australis"
"F","Matoniaceae","","N74397",118.5451428,"N74397",118.5451428,1,1,"Phanerosorus_sarmentosus"
"F","Maundiaceae","","N70388",62.539639,"N70388",62.539639,1,1,"Maundia_triglochinoides"
